category,fsq_id,name,latitude,longitude,address,PC6
Turkish Restaurant,61ab3a6f21d37b3e23b4939a,Losh,52.0566,4.285595,,2533SE
Restaurant,4f5cac9ee4b01f8f4d04b66d,ZdrPark Paviljoen,52.056669,4.285594,,2533SE
Chinese Restaurant,4cc856187722bfb71f9ea2fa,Kam Fat,52.055775,4.274366,Almeloplein 45,2533AC
Fast Food Restaurant,4cc856187722bfb71f9ea2fa,Kam Fat,52.055775,4.274366,Almeloplein 45,2533AC
Fast Food Restaurant,83bf195a842946e6c5545453,Hapje Fastfoodrestaurant Het,52.059688,4.279303,Vreeswijkstraat 145/TO,2546AD
Fast Food Restaurant,4c1e73e163750f47afc5b967,De Jong Snacks,52.045654,4.289638,Erasmusweg 760,2532RX
Southern / Soul Food Restaurant,5b8bfe364b78c5002c610cc0,Burragâh Time,52.04585,4.288902,,2533CG
Café,4cd5aab8dfb4a1cd7da15a5c,‘t Goude Gemaal,52.04585,4.288902,Loevesteinlaan 484,2533CG
Gastropub,4cd5aab8dfb4a1cd7da15a5c,‘t Goude Gemaal,52.04585,4.288902,Loevesteinlaan 484,2533CG
Turkish Restaurant,5f07172046106b16dafb0905,Ada Doner,52.045976,4.288727,1161K Erasmusweg,2533CG
Ice Cream Parlor,596fb1abd41bb7405ae06634,My Icecream,52.048391,4.291249,,2533HK
Bistro,52fcce9b498e683cbc6b9462,Resto VanHarte Den Haag Moerwijk,52.043969,4.296145,Guntersteinweg 377,2531KB
Restaurant,93c518acb1d24bb05a02fac8,Demetria VOF,52.047762,4.29282,Betje Wolffstraat 232,2533HW
Bakery,4d072d152301443ce571aa78,Bakkerij Huub van der Zijden,52.048487,4.291923,Betje Wolffstraat 160,2533HT
Dining and Drinking,86f380db1a1341f5cda17f7b,Jong Snack's De,52.04449,4.28745,Erasmusweg 1169/TO,2542PS
Bakery,196d7aa76b3c477322baa259,Sahin & Sahin,52.047678,4.286932,De Lannoystraat 144,2533XW
Asian Restaurant,4b47af5cf964a520863a26e3,De Gouden Wok Zuiderpark,52.053018,4.288146,Mr P D Fortuynwg 69,2533SP
Cantonese Restaurant,4b47af5cf964a520863a26e3,De Gouden Wok Zuiderpark,52.053018,4.288146,Mr P D Fortuynwg 69,2533SP
Japanese Restaurant,4b47af5cf964a520863a26e3,De Gouden Wok Zuiderpark,52.053018,4.288146,Mr P D Fortuynwg 69,2533SP
Restaurant,e386dccb96f0484adbe7ebd0,Bowling en recreatiecentrum Zuiderpark,52.052781,4.288245,,2533SP
Restaurant,57a8cb02498ead4166d6b830,Konak,52.058242,4.291067,,2533SP
Bar,4c9e7c3d54c8a1cd09568e4b,Let's inn,52.053455,4.291578,Loevesteijnlaan,2533SR
Fast Food Restaurant,4c306cc23896e21ee285e590,Het Hapje Snacks,52.052456,4.290546,,2533CT
Bar,5317920f498e63cfa45a8dce,İstanbul Bar,52.050265,4.293487,,2533SG
Bistro,2da96aea192942a86f5b0fbe,Resto VanHarte Den Haag Moerwijk,52.04933,4.294675,Aagje Dekenlaan 51,2533SG
Bar,53ebc4b9498e9b26cc6842c4,Cafe Tanja,52.051354,4.297626,Van Baerlestraat 186,2533LR
Café,53ebc4b9498e9b26cc6842c4,Cafe Tanja,52.051354,4.297626,Van Baerlestraat 186,2533LR
Coffee Shop,53ebc4b9498e9b26cc6842c4,Cafe Tanja,52.051354,4.297626,Van Baerlestraat 186,2533LR
Bar,504155f7e4b03798673a37b0,Tanja's,52.051494,4.297548,,2533LR
Restaurant,d13ea9b0693049e7f945697c,Nanking Chinees-Indisch Restaurant,52.051354,4.297626,Van Baerlestraat 182,2533LR
Café,d85ed43358264a7d610b142b,Cafetaria Noumidia,52.051312,4.297685,Van Baerlestraat 190,2533LR
Restaurant,d85ed43358264a7d610b142b,Cafetaria Noumidia,52.051312,4.297685,Van Baerlestraat 190,2533LR
Pizzeria,4e34574552b17fb1c5fc3b2b,Pizza Company,52.054167,4.296938,Jan Luykenlaan,2531BJ
Chinese Restaurant,519b8a5c498e9de76974ebcb,Restaurant Amigu,52.051132,4.297474,Van Baerlestraat 123,2533LK
Restaurant,bb56c7f9a89249f015ce9677,Original Pizza Company Afhaal en Bezorgdienst,52.052151,4.296169,Jan Luykenlaan 63,2533JL
Fast Food Restaurant,2db534bd1c3f4e2fa897e0d9,Jade Garden Chinees Restaurant,52.052107,4.296923,Jan Luykenlaan 36,2533JR
