category,fsq_id,name,latitude,longitude,address,PC6
Liquor Store,f00b49f697114b8243d3324a,Mitra in Den Haag,52.046807,4.277983,Leyweg 709u,2545GM
Baby Store,403364050d0f4c047cbc0041,Esprit in Den Haag,52.046807,4.277983,Leyweg 709E,2545GM
Furniture and Home Store,54cf24da498ed407cd601aee,Fred van Rijn Zonwering & Woninginrichting,52.045744,4.280389,Leyweg 1150 1152,2545HH
Retail,513c8a9bf48848063bc20cef,Van Rijn Woonstyle,52.045744,4.280389,Leyweg 1150,2545HH
Clothing Store,a5b4f307281a4ae1bba72d6a,Get Well Jeans,52.045744,4.280389,Leyweg 1148,2545HH
Tobacco Store,d33398f399254565ce81326f,Tabak- en Lectuurshop Leijweg,52.045493,4.280739,Leyweg 1172,2545HH
Liquor Store,21745aba1dda479e24700122,Handel de Wijn en Bierboutique,52.045482,4.2796,Leyweg 803-805,2541EL
Furniture and Home Store,3483673204704cedd43a7578,Blokker,52.045842,4.280369,Leyweg 986 - 988,2541EH
Telecommunication Service,4df763cfd22df20cc2d7370e,KPN Winkel,52.048228,4.277387,Leyweg 1032B,2545GX
Mobile Phone Store,4df763cfd22df20cc2d7370e,KPN Winkel,52.048228,4.277387,Leyweg 1032B,2545GX
Lingerie Store,567edf5823824789078528b1,Hunkemöller,52.047879,4.277758,Tubbergenstraat 131,2545GX
Lingerie Store,48969ae43353474af195af54,Hunkemöller in Den Haag,52.047879,4.277758,Leyweg 1076,2545GX
Home Appliance Store,07de4f3d1a2547209efc5468,Handelsonderneming R.& P.Stoppelenburg v.o.f.,52.048005,4.277583,Leyweg 1062,2545GX
Food and Beverage Retail,8fa3bc91b1684149188d25bb,Mina's Kukru,52.048047,4.277524,Leyweg 1052,2545GX
Retail,5ae7fb973deb489071c6fcf6,Hans Textiel Bv,52.047616,4.276969,Leyweg 683/685,2545GL
Butcher,a8dfce26503f40d8c26cf55a,Sijde Slagerij A vd,52.0477,4.276853,Leyweg 681,2545GL
Fish Market,324c0071caf54d0ad96031ad,Perle La,52.047784,4.276736,Leyweg 681,2545GL
Bridal Store,e5a9cbe74acd44feb913c738,Prom Time Mix,52.047784,4.276736,Leyweg 683,2545GL
Drugstore,1a1140220f434c307bfd1a7a,Etos in Den Haag,52.048521,4.276978,Leyweg 1018,2545GW
Furniture and Home Store,578e1d7a498efbcb0e0a0b38,Woontextiel Roobol,52.048669,4.27694,Leyweg,2545GW
Bookstore,c1a679cb85cd474794492b79,Prijsmepper,52.048786,4.276724,Leyweg 970 -972,2545GW
Bicycle Store,4e95f18761af864d7d198689,Ado Bike Leyweg,52.049433,4.279864,,2541VK
Miscellaneous Store,4c922151b641236ac11f8779,Prijsmepper Outlet,52.049342,4.276757,,2545NN
Grocery Store / Supermarket,5c1f57e32619ee002c4b3d5e,Baqqal Supermarkt,52.0493,4.276815,,2545NN
Meat and Seafood Store,5c1f57e32619ee002c4b3d5e,Baqqal Supermarkt,52.0493,4.276815,,2545NN
Furniture and Home Store,84f37cad25eb4f8fbc430ada,Pasado Brocante,52.049644,4.278529,Maartensdijklaan 625,2541VD
Home Appliance Store,82a7c91a73334f7e4e82cc98,Imexniar,52.049813,4.277601,Fluitenbergstraat 12,2545NL
Automotive Retail,4dc0f35c45dd472e9b6c8f62,Vathauer & Dochters,52.051871,4.278311,Kerketuinenweg 6,2545JP
Clothing Store,af9cbe2092e74521458ef25f,4U Mode,52.051857,4.278214,Hengelolaan 54,2545JP
Drugstore,67c2e71ab7b5490893bab4ef,Independer Zorgapotheek,52.050907,4.280349,Loevesteinlaan 355,2533AM
Shopping Mall,36b8228538e64fe01bd8c86b,Leyweg,52.042181,4.281086,Leyweg 765,2541PS
Tobacco Store,326134eb22c24ccc34f1c199,Merlijn Tabak en Lektuur,52.043668,4.281668,Steenwijklaan 152,2541RP
Drugstore,4c78d8cf0bf4479ab6e2f02d,Global Pharma Supply Partner,52.042901,4.282622,Dwingelostraat 84,2541RE
Food and Beverage Retail,4d2c9930b818a35d8ce0b98a,Passar Baroe,52.0452,4.281148,Leyweg 1188-1190,2545HJ
Food and Beverage Retail,f4a92ac198d3419a4b41fadc,Boulakhrif Vleesbewerking,52.045909,4.281546,Zwartsluisstraat 8,2541ST
